Perm_Makro,PKO (q0),PEKAO_HUB (q1),SAN (q2),ING (q3),MBK (q4),AUC ROC,Accuracy,F1-Score
"(0, 4, 3, 1, 2)",PKO + wibor_3m,PEKAO + zmiennosc,SAN + wig20,ING + rentownosc_10y,MBK + eurpln,0.5107065553494124,0.49510763209393344,0.6239067055393586
"(0, 1, 4, 2, 3)",PKO + wibor_3m,PEKAO + rentownosc_10y,SAN + zmiennosc,ING + eurpln,MBK + wig20,0.5096320346320347,0.5146771037181996,0.6331360946745562
"(1, 4, 0, 2, 3)",PKO + rentownosc_10y,PEKAO + zmiennosc,SAN + wibor_3m,ING + eurpln,MBK + wig20,0.5094928880643166,0.49902152641878667,0.6201780415430267
"(4, 2, 3, 1, 0)",PKO + zmiennosc,PEKAO + eurpln,SAN + wig20,ING + rentownosc_10y,MBK + wibor_3m,0.5081632653061224,0.5009784735812133,0.6298984034833092
"(2, 1, 3, 4, 0)",PKO + eurpln,PEKAO + rentownosc_10y,SAN + wig20,ING + zmiennosc,MBK + wibor_3m,0.5079004329004329,0.512720156555773,0.6354319180087847
"(0, 4, 2, 3, 1)",PKO + wibor_3m,PEKAO + zmiennosc,SAN + eurpln,ING + wig20,MBK + rentownosc_10y,0.5074443413729128,0.5166340508806262,0.6383601756954612
"(2, 0, 1, 4, 3)",PKO + eurpln,PEKAO + wibor_3m,SAN + rentownosc_10y,ING + zmiennosc,MBK + wig20,0.5067717996289424,0.5303326810176126,0.6352583586626139
"(3, 2, 4, 0, 1)",PKO + wig20,PEKAO + eurpln,SAN + zmiennosc,ING + wibor_3m,MBK + rentownosc_10y,0.50647804576376,0.5185909980430529,0.641399416909621
"(1, 2, 0, 4, 3)",PKO + rentownosc_10y,PEKAO + eurpln,SAN + wibor_3m,ING + zmiennosc,MBK + wig20,0.5053880643166357,0.5225048923679061,0.6473988439306358
"(1, 4, 2, 3, 0)",PKO + rentownosc_10y,PEKAO + zmiennosc,SAN + eurpln,ING + wig20,MBK + wibor_3m,0.5049010513296228,0.5283757338551859,0.6419019316493314
"(1, 2, 3, 4, 0)",PKO + rentownosc_10y,PEKAO + eurpln,SAN + wig20,ING + zmiennosc,MBK + wibor_3m,0.5041280148423006,0.5185909980430529,0.6485714285714286
"(1, 2, 0, 3, 4)",PKO + rentownosc_10y,PEKAO + eurpln,SAN + wibor_3m,ING + wig20,MBK + zmiennosc,0.5040507111935684,0.5107632093933464,0.638728323699422
"(1, 0, 3, 4, 2)",PKO + rentownosc_10y,PEKAO + wibor_3m,SAN + wig20,ING + zmiennosc,MBK + eurpln,0.5039270253555967,0.49510763209393344,0.6183431952662722
"(0, 1, 3, 4, 2)",PKO + wibor_3m,PEKAO + rentownosc_10y,SAN + wig20,ING + zmiennosc,MBK + eurpln,0.5038342609771181,0.5166340508806262,0.6466380543633763
"(0, 1, 4, 3, 2)",PKO + wibor_3m,PEKAO + rentownosc_10y,SAN + zmiennosc,ING + wig20,MBK + eurpln,0.5038033395176252,0.5205479452054794,0.6494992846924177
"(4, 1, 2, 0, 3)",PKO + zmiennosc,PEKAO + rentownosc_10y,SAN + eurpln,ING + wibor_3m,MBK + wig20,0.5028138528138528,0.5322896281800391,0.6351145038167939
"(3, 1, 2, 4, 0)",PKO + wig20,PEKAO + rentownosc_10y,SAN + eurpln,ING + zmiennosc,MBK + wibor_3m,0.502612863327149,0.5401174168297456,0.6559297218155198
"(0, 1, 2, 4, 3)",PKO + wibor_3m,PEKAO + rentownosc_10y,SAN + eurpln,ING + zmiennosc,MBK + wig20,0.5014378478664193,0.5048923679060665,0.6273932253313697
"(0, 4, 2, 1, 3)",PKO + wibor_3m,PEKAO + zmiennosc,SAN + eurpln,ING + rentownosc_10y,MBK + wig20,0.5014069264069264,0.5362035225048923,0.654014598540146
"(3, 0, 2, 4, 1)",PKO + wig20,PEKAO + wibor_3m,SAN + eurpln,ING + zmiennosc,MBK + rentownosc_10y,0.4999768089053803,0.5166340508806262,0.6383601756954612
"(1, 3, 2, 4, 0)",PKO + rentownosc_10y,PEKAO + wig20,SAN + eurpln,ING + zmiennosc,MBK + wibor_3m,0.49908781694495974,0.5166340508806262,0.6404657933042213
"(3, 4, 2, 1, 0)",PKO + wig20,PEKAO + zmiennosc,SAN + eurpln,ING + rentownosc_10y,MBK + wibor_3m,0.4990105132962276,0.5107632093933464,0.6355685131195336
"(1, 4, 3, 2, 0)",PKO + rentownosc_10y,PEKAO + zmiennosc,SAN + wig20,ING + eurpln,MBK + wibor_3m,0.4972943722943723,0.5225048923679061,0.6358208955223881
"(1, 4, 3, 0, 2)",PKO + rentownosc_10y,PEKAO + zmiennosc,SAN + wig20,ING + wibor_3m,MBK + eurpln,0.4971397649969078,0.5166340508806262,0.6307922272047832
"(2, 1, 0, 4, 3)",PKO + eurpln,PEKAO + rentownosc_10y,SAN + wibor_3m,ING + zmiennosc,MBK + wig20,0.4970933828076686,0.5048923679060665,0.6240713224368499
"(1, 3, 2, 0, 4)",PKO + rentownosc_10y,PEKAO + wig20,SAN + eurpln,ING + wibor_3m,MBK + zmiennosc,0.49679189857761297,0.5146771037181996,0.6265060240963856
"(3, 1, 2, 0, 4)",PKO + wig20,PEKAO + rentownosc_10y,SAN + eurpln,ING + wibor_3m,MBK + zmiennosc,0.49679189857761286,0.5166340508806262,0.6263237518910741
"(3, 4, 2, 0, 1)",PKO + wig20,PEKAO + zmiennosc,SAN + eurpln,ING + wibor_3m,MBK + rentownosc_10y,0.49635126777983923,0.50293542074364,0.6253687315634219
"(1, 2, 4, 0, 3)",PKO + rentownosc_10y,PEKAO + eurpln,SAN + zmiennosc,ING + wibor_3m,MBK + wig20,0.49559369202226344,0.5088062622309197,0.6281481481481481
"(2, 1, 4, 0, 3)",PKO + eurpln,PEKAO + rentownosc_10y,SAN + zmiennosc,ING + wibor_3m,MBK + wig20,0.4953076685219543,0.5185909980430529,0.6261398176291794
"(2, 3, 4, 0, 1)",PKO + eurpln,PEKAO + wig20,SAN + zmiennosc,ING + wibor_3m,MBK + rentownosc_10y,0.4948670377241806,0.49510763209393344,0.6149253731343284
"(3, 1, 4, 0, 2)",PKO + wig20,PEKAO + rentownosc_10y,SAN + zmiennosc,ING + wibor_3m,MBK + eurpln,0.4942022263450835,0.5146771037181996,0.6405797101449275
"(1, 0, 2, 4, 3)",PKO + rentownosc_10y,PEKAO + wibor_3m,SAN + eurpln,ING + zmiennosc,MBK + wig20,0.4918290043290044,0.5146771037181996,0.6363636363636364
"(2, 4, 3, 0, 1)",PKO + eurpln,PEKAO + zmiennosc,SAN + wig20,ING + wibor_3m,MBK + rentownosc_10y,0.4914038342609771,0.50293542074364,0.6220238095238095
"(4, 3, 2, 0, 1)",PKO + zmiennosc,PEKAO + wig20,SAN + eurpln,ING + wibor_3m,MBK + rentownosc_10y,0.4894016697588126,0.5185909980430529,0.6403508771929824
"(2, 4, 0, 1, 3)",PKO + eurpln,PEKAO + zmiennosc,SAN + wibor_3m,ING + rentownosc_10y,MBK + wig20,0.48596938775510207,0.5264187866927593,0.6461988304093568
