Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2008-01-11,1.38599,1.38599,1.32098,1.32751
2008-01-14,1.31444,1.31444,1.31444,1.31444
2008-01-15,1.32751,1.32751,1.30144,1.30144
2008-01-16,1.20388,1.28844,1.20388,1.23642
2008-01-17,1.2819,1.2819,1.23642,1.26227
2008-01-18,1.25604,1.30144,1.25604,1.28844
2008-01-21,1.29497,1.29497,1.23642,1.23642
2008-01-22,1.13233,1.33398,1.13233,1.33398
2008-01-23,1.35999,1.38599,1.26227,1.35999
2008-01-24,1.41861,1.41861,1.39253,1.40554
2008-01-25,1.40554,1.40554,1.36661,1.36661
2008-01-28,1.32098,1.32751,1.30144,1.30144
2008-01-29,1.35352,1.35352,1.32098,1.32751
2008-01-30,1.35352,1.35999,1.34036,1.34036
2008-01-31,1.34036,1.34036,1.26227,1.31444
2008-02-01,1.31444,1.32751,1.30144,1.31444
2008-02-04,1.33398,1.33398,1.31444,1.31444
2008-02-05,1.31444,1.32751,1.30144,1.30144
2008-02-06,1.28844,1.28844,1.25604,1.25604
2008-02-07,1.28844,1.28844,1.23642,1.25604
2008-02-08,1.2689,1.2689,1.24289,1.24934
2008-02-11,1.24934,1.2689,1.24934,1.26227
2008-02-12,1.2689,1.30144,1.26227,1.30144
2008-02-13,1.32751,1.36661,1.32098,1.35999
2008-02-14,1.38599,1.39907,1.35999,1.36661
2008-02-15,1.35999,1.37307,1.35999,1.36661
2008-02-18,1.36661,1.36661,1.35999,1.36661
2008-02-19,1.36661,1.37953,1.35999,1.36661
2008-02-20,1.31444,1.31444,1.26227,1.26227
2008-02-21,1.2819,1.28844,1.24289,1.24289
2008-02-22,1.24289,1.24289,1.19719,1.2168
2008-02-25,1.2168,1.2168,1.19079,1.21034
2008-02-26,1.22989,1.22989,1.19719,1.21034
2008-02-27,1.20388,1.21034,1.18425,1.19079
2008-02-28,1.2168,1.2168,1.19079,1.20388
2008-02-29,1.20388,1.20388,1.18425,1.18425
2008-03-03,1.1387,1.17133,1.13233,1.16479
2008-03-04,1.17133,1.17133,1.11279,1.11279
2008-03-05,1.11917,1.13233,1.11279,1.11917
2008-03-06,1.1257,1.1387,1.11917,1.11917
2008-03-07,1.11279,1.11917,1.08669,1.10624
2008-03-10,1.08015,1.11917,1.08015,1.10624
2008-03-11,1.10624,1.11917,1.10624,1.11917
2008-03-12,1.13233,1.14533,1.11917,1.14533
2008-03-13,1.13233,1.14533,1.11917,1.13233
2008-03-14,1.11279,1.1257,1.11279,1.11279
2008-03-17,1.09969,1.10624,1.07362,1.09969
2008-03-18,1.09969,1.11917,1.09969,1.11917
2008-03-19,1.11917,1.11917,1.09332,1.10624
2008-03-20,1.08669,1.09969,1.08015,1.08669
2008-03-25,1.1257,1.14533,1.1257,1.14533
2008-03-26,1.1257,1.13233,1.11917,1.11917
2008-03-27,1.15171,1.18425,1.11917,1.15825
2008-03-28,1.15825,1.17133,1.13233,1.13233
2008-03-31,1.14533,1.14533,1.14533,1.14533
2008-04-01,1.13233,1.15171,1.13233,1.14533
2008-04-02,1.16479,1.16479,1.14533,1.15825
2008-04-03,1.16479,1.16479,1.14533,1.14533
2008-04-04,1.14533,1.16479,1.14533,1.16479
2008-04-07,1.17133,1.18425,1.15171,1.17133
2008-04-08,1.15825,1.16479,1.14533,1.14533
2008-04-09,1.14533,1.14533,1.1387,1.1387
2008-04-10,1.15171,1.15171,1.11917,1.1257
2008-04-11,1.14533,1.14533,1.11279,1.13233
2008-04-14,1.11917,1.13233,1.10624,1.13233
2008-04-15,1.11917,1.13233,1.09969,1.13233
2008-04-16,1.10624,1.1257,1.10624,1.11917
2008-04-17,1.11917,1.11917,1.09969,1.10624
2008-04-18,1.09969,1.11917,1.09969,1.10624
2008-04-21,1.13233,1.13233,1.09969,1.10624
2008-04-22,1.10624,1.10624,1.06069,1.06069
2008-04-23,1.08669,1.08669,1.06723,1.06723
2008-04-24,1.06069,1.07362,1.06069,1.07362
2008-04-25,1.06723,1.09969,1.06723,1.08015
2008-04-28,1.08015,1.08669,1.06069,1.08669
2008-04-29,1.08015,1.08015,1.06723,1.06723
2008-04-30,1.07362,1.07362,1.05415,1.07362
2008-05-05,1.07362,1.10624,1.07362,1.09969
2008-05-06,1.11917,1.11917,1.08669,1.10624
2008-05-07,1.11279,1.15825,1.11279,1.14533
2008-05-08,1.14533,1.16479,1.1387,1.15171
2008-05-09,1.16479,1.18425,1.14533,1.17779
2008-05-12,1.19079,1.19079,1.17133,1.17779
2008-05-13,1.18425,1.19079,1.17779,1.17779
2008-05-14,1.20388,1.20388,1.17133,1.17133
2008-05-15,1.17133,1.17133,1.15171,1.15171
2008-05-16,1.15171,1.17133,1.14533,1.15171
2008-05-19,1.1387,1.15171,1.08669,1.08669
2008-05-20,1.08669,1.09332,1.08015,1.08015
2008-05-21,1.08015,1.08015,1.06069,1.07362
2008-05-23,1.07362,1.07362,1.05415,1.07362
2008-05-26,1.06723,1.08669,1.06069,1.07362
2008-05-27,1.07362,1.09332,1.06723,1.09332
2008-05-28,1.07362,1.09332,1.07362,1.08015
2008-05-29,1.09969,1.09969,1.08015,1.08669
2008-05-30,1.09969,1.10624,1.08669,1.09332
2008-06-02,1.09969,1.10624,1.09332,1.10624
2008-06-03,1.09969,1.1387,1.09332,1.1387
2008-06-04,1.09969,1.11279,1.09332,1.09332
2008-06-05,1.08669,1.08669,1.08015,1.08015
2008-06-06,1.09332,1.09332,1.08669,1.09332
2008-06-09,1.08015,1.09332,1.06069,1.07362
2008-06-10,1.06723,1.08015,1.06723,1.06723
2008-06-11,1.07362,1.07362,1.04115,1.04115
2008-06-12,1.03461,1.03461,1.01522,1.03461
2008-06-13,1.03461,1.03461,1.01522,1.03461
2008-06-16,1.02161,1.05415,1.02161,1.04115
2008-06-17,1.03461,1.04115,1.02822,1.02822
2008-06-18,1.02822,1.02822,1.01522,1.01522
2008-06-19,1.01522,1.03461,1.01522,1.02161
2008-06-20,1.02161,1.02161,1.01522,1.01522
2008-06-23,1.02161,1.02161,0.995519,1.00206
2008-06-24,0.989142,0.989142,0.969594,0.969594
2008-06-25,0.969594,0.982519,0.904505,0.930429
2008-06-26,0.936969,0.950131,0.936969,0.936969
2008-06-27,0.911045,0.923968,0.891505,0.891505
2008-06-30,0.897966,0.897966,0.878495,0.878495
2008-07-01,0.878495,0.884965,0.871958,0.878495
2008-07-02,0.878495,0.884965,0.871958,0.878495
2008-07-03,0.858876,0.878495,0.852415,0.878495
2008-07-04,0.865417,0.891505,0.858876,0.858876
2008-07-07,0.858876,0.891505,0.845874,0.858876
2008-07-08,0.865417,0.865417,0.839492,0.852415
2008-07-09,0.845874,0.884965,0.845874,0.878495
2008-07-10,0.891505,0.891505,0.871958,0.871958
2008-07-11,0.871958,0.878495,0.858876,0.858876
2008-07-14,0.871958,0.884965,0.865417,0.865417
2008-07-15,0.858876,0.865417,0.845874,0.845874
2008-07-16,0.845874,0.852415,0.832872,0.832872
2008-07-17,0.852415,0.891505,0.852415,0.884965
2008-07-18,0.884965,0.904505,0.865417,0.904505
2008-07-21,0.878495,0.943508,0.878495,0.943508
2008-07-22,0.936969,0.936969,0.911045,0.917507
2008-07-23,0.950131,0.950131,0.917507,0.936969
2008-07-24,0.956508,0.956508,0.936969,0.936969
2008-07-25,0.930429,0.956508,0.930429,0.943508
2008-07-28,0.989142,0.989142,0.956508,0.975981
2008-07-29,0.962971,0.975981,0.956508,0.969594
2008-07-30,0.982519,1.01522,0.982519,1.00852
2008-07-31,1.00206,1.00852,0.989142,1.00852
2008-08-01,0.995519,1.00206,0.995519,1.00206
2008-08-04,1.02822,1.04115,1.02822,1.03461
2008-08-05,1.04115,1.04115,1.03461,1.04115
2008-08-06,1.05415,1.05415,1.03461,1.04115
2008-08-07,1.04115,1.05415,1.03461,1.05415
2008-08-08,1.05415,1.05415,1.03461,1.03461
2008-08-11,1.04115,1.04115,1.01522,1.01522
2008-08-12,1.02822,1.03461,1.01522,1.01522
2008-08-13,1.06069,1.06069,1.03461,1.03461
2008-08-14,1.03461,1.03461,1.03461,1.03461
2008-08-18,1.04115,1.04115,1.02822,1.04115
2008-08-19,1.03461,1.03461,1.03461,1.03461
2008-08-20,1.02822,1.03461,1.02822,1.03461
2008-08-21,1.03461,1.03461,1.03461,1.03461
2008-08-22,1.04115,1.04762,1.04115,1.04762
2008-08-25,1.05415,1.05415,1.04115,1.04115
2008-08-26,1.03461,1.04115,1.03461,1.03461
2008-08-27,1.03461,1.04115,1.03461,1.04115
2008-08-28,1.04115,1.04115,1.03461,1.04115
2008-08-29,1.04762,1.04762,1.03461,1.04115
2008-09-01,1.04115,1.04762,1.04115,1.04762
