Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-12-03,1000.0,1000.0,1000.0,1000.0,0
2014-12-04,992.6989538780338,992.6989538780338,992.6989538780338,992.6989538780338,0
2014-12-05,992.3160124026019,992.3160124026019,992.3160124026019,992.3160124026019,0
2014-12-08,990.4856228761174,990.4856228761174,990.4856228761174,990.4856228761174,0
2014-12-09,980.7649103966189,980.7649103966189,980.7649103966189,980.7649103966189,0
2014-12-10,971.1119062951487,971.1119062951487,971.1119062951487,971.1119062951487,0
2014-12-11,964.0617796064972,964.0617796064972,964.0617796064972,964.0617796064972,0
2014-12-12,953.5939117437007,953.5939117437007,953.5939117437007,953.5939117437007,0
2014-12-15,944.3614404516063,944.3614404516063,944.3614404516063,944.3614404516063,0
2014-12-16,923.5715805321948,923.5715805321948,923.5715805321948,923.5715805321948,0
2014-12-17,935.3355415554481,935.3355415554481,935.3355415554481,935.3355415554481,0
2014-12-18,954.5075678900832,954.5075678900832,954.5075678900832,954.5075678900832,0
2014-12-19,943.0951707082094,943.0951707082094,943.0951707082094,943.0951707082094,0
2014-12-22,950.4942963756994,950.4942963756994,950.4942963756994,950.4942963756994,0
2014-12-23,954.1361515556586,954.1361515556586,954.1361515556586,954.1361515556586,0
2014-12-29,947.5905074757037,947.5905074757037,947.5905074757037,947.5905074757037,0
2015-01-02,947.8355244108336,947.8355244108336,947.8355244108336,947.8355244108336,0
2015-01-05,928.6936292095429,928.6936292095429,928.6936292095429,928.6936292095429,0
2015-01-07,926.3866203231212,926.3866203231212,926.3866203231212,926.3866203231212,0
2015-01-08,943.9186675457995,943.9186675457995,943.9186675457995,943.9186675457995,0
2015-01-09,918.2317323480432,918.2317323480432,918.2317323480432,918.2317323480432,0
2015-01-12,920.2379979564643,920.2379979564643,920.2379979564643,920.2379979564643,0
2015-01-13,946.5730777108969,946.5730777108969,946.5730777108969,946.5730777108969,0
2015-01-14,934.9654407083186,934.9654407083186,934.9654407083186,934.9654407083186,0
2015-01-15,903.640920443693,903.640920443693,903.640920443693,903.640920443693,0
2015-01-16,896.3508637521246,896.3508637521246,896.3508637521246,896.3508637521246,0
2015-01-19,894.362258659483,894.362258659483,894.362258659483,894.362258659483,0
2015-01-20,893.9614359639464,893.9614359639464,893.9614359639464,893.9614359639464,0
2015-01-21,902.2809420684151,902.2809420684151,902.2809420684151,902.2809420684151,0
2015-01-22,914.0353090484457,914.0353090484457,914.0353090484457,914.0353090484457,0
2015-01-23,920.6715962721245,920.6715962721245,920.6715962721245,920.6715962721245,0
2015-01-26,909.9753916515697,909.9753916515697,909.9753916515697,909.9753916515697,0
2015-01-27,912.8946298951201,912.8946298951201,912.8946298951201,912.8946298951201,0
2015-01-28,927.987857148837,927.987857148837,927.987857148837,927.987857148837,0
2015-01-29,927.507772483137,927.507772483137,927.507772483137,927.507772483137,0
2015-01-30,915.5984462193964,915.5984462193964,915.5984462193964,915.5984462193964,0
2015-02-02,917.6941713907718,917.6941713907718,917.6941713907718,917.6941713907718,0
2015-02-03,914.7914901290748,914.7914901290748,914.7914901290748,914.7914901290748,0
2015-02-04,918.7958241380902,918.7958241380902,918.7958241380902,918.7958241380902,0
2015-02-05,912.3702481014323,912.3702481014323,912.3702481014323,912.3702481014323,0
2015-02-06,916.9817091317424,916.9817091317424,916.9817091317424,916.9817091317424,0
2015-02-09,908.9429209397376,908.9429209397376,908.9429209397376,908.9429209397376,0
2015-02-10,904.5186966043048,904.5186966043048,904.5186966043048,904.5186966043048,0
2015-02-11,888.6688551992372,888.6688551992372,888.6688551992372,888.6688551992372,0
2015-02-12,898.0289183684642,898.0289183684642,898.0289183684642,898.0289183684642,0
2015-02-13,907.3874488171188,907.3874488171188,907.3874488171188,907.3874488171188,0
2015-02-16,910.1656696540857,910.1656696540857,910.1656696540857,910.1656696540857,0
2015-02-17,905.8268437549581,905.8268437549581,905.8268437549581,905.8268437549581,0
2015-02-18,900.2447842500122,900.2447842500122,900.2447842500122,900.2447842500122,0
2015-02-19,907.5416269431632,907.5416269431632,907.5416269431632,907.5416269431632,0
2015-02-23,899.0179162922309,899.0179162922309,899.0179162922309,899.0179162922309,0
2015-02-24,907.1823476530363,907.1823476530363,907.1823476530363,907.1823476530363,0
2015-02-25,906.0717019237853,906.0717019237853,906.0717019237853,906.0717019237853,0
2015-02-26,909.8011471810091,909.8011471810091,909.8011471810091,909.8011471810091,0
2015-02-27,911.7417575394136,911.7417575394136,911.7417575394136,911.7417575394136,0
2015-03-02,911.5818116925984,911.5818116925984,911.5818116925984,911.5818116925984,0
2015-03-03,895.0622050872503,895.0622050872503,895.0622050872503,895.0622050872503,0
2015-03-04,918.8315820436479,918.8315820436479,918.8315820436479,918.8315820436479,0
2015-03-05,915.5636230326844,915.5636230326844,915.5636230326844,915.5636230326844,0
2015-03-06,910.0340056952399,910.0340056952399,910.0340056952399,910.0340056952399,0
2015-03-09,907.2353427094552,907.2353427094552,907.2353427094552,907.2353427094552,0
2015-03-10,905.6830726086287,905.6830726086287,905.6830726086287,905.6830726086287,0
2015-03-11,911.9464821534002,911.9464821534002,911.9464821534002,911.9464821534002,0
