,ret_wig20,ret_eurpln,ret_zmiennosc,diff_wibor_3m,diff_rentownosc_10y,d_pbv_pko,d_pbv_peo,d_pbv_san,d_pbv_ing,d_pbv_mbk,target_y
2014-12-12,-0.03268866953877186,0.00597346112838111,0.09581505409082738,0.0,0.0,-0.029184622771580022,-0.02390738087974205,-0.06896391487368043,-0.036701718330922034,-0.0412693217475757,0
2014-12-19,-0.021033214666799135,0.019634247082942695,0.31692220839151447,0.0,0.0,-0.036182743050971994,-0.014583242620683608,0.02646256985247757,-0.04934939602658164,0.01569592270758133,0
2014-12-26,0.005248268382520993,0.025197016412345757,0.012214207819980843,0.0,0.0,0.006145886880598989,-0.0050138091582677975,0.008573607976370693,0.027713756591564213,0.02050049738192063,1
2015-01-02,-0.00589325235603502,-0.016952099393503478,0.008300469715418984,0.0,-0.34215789500000016,0.006108345562300214,-0.014864439146297866,-0.008573607976370735,-0.01099189689578289,-0.0050987672587069505,0
2015-01-09,0.01197448991578082,-0.007400955978500499,0.22408631267263132,-0.010000000000000231,0.0,0.012039946435780918,-0.009981915155865991,-0.19115697677453214,0.010991896895782977,0.010171668916780745,0
2015-01-16,-0.03699267435887537,0.008098533089055693,0.128550561988441,-0.020000000000000018,0.0,-0.08758250363112251,-0.025623758964496264,0.1189786466113633,-0.022105959667332083,-0.112112966631865,1
2015-01-23,0.029425209968626326,-0.023828292236189534,-0.056343253211676075,-0.009999999999999787,0.0,0.0,0.0406362029232476,0.0546125099212258,0.0,0.033342981372331895,1
2015-01-30,0.009187742586036675,-0.004150670303830038,-0.011248318579686858,-0.020000000000000018,0.0,0.03845847235006385,0.0,-0.06391396184960298,-0.011304928014685002,0.005459823296823893,1
2015-02-06,0.0057374605528067195,-0.00642688063484676,-0.22959561932239256,-0.030000000000000027,-0.01499999999999968,-0.02540882433732749,0.06265887867560066,0.04603841902307521,0.0,-0.07917226199623112,0
2015-02-13,-0.003199036211697996,0.006641993510181873,-0.47069184293770167,-0.030000000000000027,0.0,-0.019575501455501482,-0.038112192624582396,0.026694899244774264,0.0,-0.02379558677308642,1
