0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.031,0.028,0.9775,0.1185,-0.1535,0.95,0.315,0.6155,-0.6065,0.0175,0.026,0.982,0.0685,-0.1315,0.931
0.05,0.0295,0.984,0.0355,0.0025,0.9615,0.474,0.853,-0.0855,0.016,0.067,0.98,0.064,-0.1715,0.932
0.6155,0.439,0.334,-0.1335,-0.466,-0.286,0.342,0.3965,0.4565,0.0185,0.0235,0.6585,0.1265,-0.4115,0.4085
0.5325,-0.151,-0.0285,-0.661,0.1825,0.065,0.4095,-0.1125,-0.13,0.049,0.019,-0.2485,0.13,0.2305,-0.048
0.6945,0.171,0.0425,-0.235,-0.1375,0.0875,0.455,0.1865,0.088,0.013,0.032,0.214,0.332,-0.1415,0.0965
0.4425,0.0145,0.3675,0.021,0.0165,0.3965,0.048,0.0175,0.397,0.0105,0.0275,0.4035,0.141,-0.1155,0.3645
0.033,0.0435,0.496,0.5905,0.037,0.3765,0.039,-0.0185,0.4775,0.027,0.041,0.4865,0.146,-0.0755,0.4505
0.039,0.047,0.9795,0.056,0.0315,0.9675,0.099,0.143,0.9485,0.029,0.023,0.9785,0.18,-0.355,0.873
0.411,0.113,0.4965,0.479,-0.253,0.343,0.086,0.034,0.5175,0.0125,0.0035,0.5185,0.332,-0.4625,-0.0705
0.156,0.049,0.347,0.5745,-0.217,0.023,0.024,0.016,0.3435,-0.003,-0.0175,0.333,0.51,-0.212,-0.079
0.364,0.1165,0.8745,0.4,-0.762,0.314,0.028,-0.011,0.9285,-0.005,0.0245,0.952,0.517,-0.688,-0.315
0.417,0.198,0.2385,0.0345,-0.1035,-0.2145,0.1995,0.1555,0.293,0.0265,0.0165,0.3165,0.3045,-0.1005,-0.2275
0.3885,-0.013,-0.0395,0.0865,0.0605,0.15,0.167,0.0025,-0.066,0.024,0.0165,-0.098,0.3825,0.095,0.0735
0.399,-0.6015,-0.0905,0.2525,-0.2415,0.69,0.0855,-0.6255,-0.2535,0.0035,0.0185,-0.693,-0.2625,0.3535,0.602
0.146,-0.4355,0.297,0.486,-0.152,0.5115,0.0555,-0.503,-0.012,0.0105,0.024,-0.543,0.0715,-0.0045,0.559
-0.151,-0.575,0.5455,0.9185,-0.1145,0.293,0.0675,-0.709,0.2675,0.032,0.0265,-0.7845,-0.1545,0.228,0.765
0.001,-0.785,0.094,0.8535,-0.185,0.4075,0.0635,-0.7675,0.126,0.0175,0.06,-0.812,-0.0495,0.155,0.8145
-0.194,-0.2165,0.3225,0.9585,-0.005,-0.047,0.069,-0.2755,-0.225,0.0165,0.0215,-0.386,-0.0515,0.164,0.39
0.084,-0.13,0.096,0.214,0.017,0.188,0.039,-0.13,-0.0405,0.0445,0.023,-0.1345,-0.0505,0.1005,0.172
-0.0165,-0.8705,0.1495,0.521,-0.307,0.7385,0.042,-0.8395,0.152,0.015,0.0285,-0.8955,-0.04,0.323,0.855
-0.0285,-0.7995,-0.2685,0.1345,-0.785,0.4135,0.061,-0.1285,0.8995,0.016,0.0125,-0.886,-0.1315,0.6015,0.684
0.2055,-0.489,-0.6715,-0.0085,-0.5825,0.693,0.058,0.7725,0.5415,0.02,0.0275,-0.9015,-0.6945,0.2705,0.504
0.4355,-0.4915,-0.613,-0.2995,-0.2485,0.8325,0.3455,-0.3305,0.7755,0.018,0.023,-0.89,-0.1245,0.7635,0.4855
0.0275,0.0365,-0.6535,0.194,0.179,0.7295,-0.173,0.014,0.713,0.004,0.038,-0.701,-0.11,0.6505,0.267
0.111,-0.0445,-0.852,0.357,0.6395,0.6405,-0.1355,0.0035,0.914,0.0265,0.019,-0.886,-0.1155,0.7985,0.418
0.56,-0.4775,0.06,0.0445,-0.0545,0.666,0.276,-0.191,0.5655,0.054,0.0,-0.6095,0.01,0.1005,0.6245
0.4445,-0.3145,-0.6925,0.0215,0.7375,0.552,-0.253,0.5905,0.633,0.007,0.0115,-0.887,0.002,0.002,0.8985
0.313,-0.087,-0.6225,-0.155,0.6435,0.402,0.092,-0.0535,0.718,0.032,0.0215,-0.6865,0.475,0.487,0.426
0.6445,-0.075,-0.304,0.344,0.27,0.349,0.319,0.008,0.4605,0.035,0.041,-0.4305,0.159,0.083,0.462
0.8785,-0.2085,0.166,0.765,0.2785,0.263,-0.419,0.4615,0.209,-0.0025,0.0305,-0.5235,-0.0295,-0.038,0.546
0.3405,0.058,0.181,0.407,-0.117,-0.0055,-0.3685,-0.0995,0.0605,0.0495,-0.0035,0.1875,0.4705,-0.005,-0.1195
0.024,0.0295,-0.19,0.247,0.175,-0.1655,-0.331,0.255,-0.0855,0.0085,0.0265,-0.2185,0.7265,0.0965,0.1465
0.7735,-0.112,-0.0575,0.1915,0.142,-0.2435,-0.1535,0.1045,0.2965,0.0295,0.013,-0.2645,0.796,0.067,0.179
0.4545,0.321,-0.0685,-0.31,-0.135,0.31,-0.0245,-0.0025,-0.311,0.0205,0.009,0.381,0.9175,-0.0995,-0.0435
0.764,0.569,0.2615,0.0365,0.0355,0.9165,0.077,0.0915,-0.8545,-0.0155,0.032,0.928,0.5985,-0.1305,-0.6985
0.0075,-0.2945,0.9005,-0.3595,0.705,-0.4685,-0.298,-0.5485,-0.611,-0.0095,0.025,0.985,0.0125,0.045,0.957
0.1095,-0.1955,0.9445,0.069,-0.143,-0.9,0.164,0.251,-0.8825,0.0,0.016,0.983,0.042,0.035,0.952
-0.177,-0.61,-0.5325,-0.4135,0.3505,-0.6955,0.007,-0.0095,-0.866,0.011,-0.0015,0.9385,-0.1685,-0.121,0.881
-0.5435,-0.659,-0.207,-0.6975,0.225,-0.52,0.3665,0.604,-0.6415,0.0205,0.023,0.9815,0.006,0.0375,0.9555
-0.5395,-0.564,-0.335,-0.292,-0.1485,-0.8115,0.466,0.7375,-0.4145,0.0325,-0.009,0.986,0.0205,-0.0065,0.958
-0.714,-0.08,0.0445,-0.534,0.034,-0.135,0.255,0.1375,-0.153,-0.006,-0.038,0.237,0.753,-0.0685,0.13
-0.7345,-0.147,0.2845,0.1785,-0.028,-0.486,0.5045,0.458,0.123,0.014,0.045,0.561,0.86,-0.2245,0.02
-0.172,-0.1945,0.8885,0.2095,-0.4375,-0.754,0.496,0.7825,0.227,0.003,0.002,0.9525,0.8415,-0.407,0.227
-0.8845,-0.0045,0.07,-0.105,0.496,-0.761,0.256,0.382,-0.79,0.026,0.014,0.9595,0.8525,-0.419,-0.0575
-0.6245,-0.462,0.4345,-0.0185,-0.558,-0.6805,0.552,0.818,-0.0055,0.0175,0.0135,0.9645,-0.1235,0.864,0.3385
-0.858,-0.1225,-0.0645,-0.2405,0.7265,-0.3195,-0.422,0.729,0.0845,0.0205,0.0165,0.838,-0.1035,0.7965,0.1325
-0.387,0.054,-0.007,-0.4565,0.0325,0.087,-0.1005,0.046,0.002,0.0195,0.018,-0.024,-0.1265,-0.0065,0.022
0.028,0.0385,0.605,-0.1795,0.1245,-0.5055,0.047,0.013,0.5935,0.032,0.043,0.604,-0.1235,0.553,0.1585
-0.213,-0.2475,0.5895,-0.601,0.482,0.1875,0.077,0.004,0.671,0.0605,-0.0025,0.683,-0.859,0.0625,-0.158
0.203,-0.631,0.4775,0.0665,-0.4345,-0.686,0.0465,-0.028,0.8505,0.0315,0.015,0.8725,-0.8375,0.021,0.364
-0.5385,-0.012,-0.284,0.489,-0.289,0.098,-0.469,0.0195,0.3485,-0.0495,0.107,0.4295,-0.8505,0.0615,-0.084
0.488,-0.47,-0.2025,0.021,-0.573,0.2595,-0.315,-0.0085,0.609,0.011,0.0245,0.656,-0.593,0.024,-0.429
0.258,-0.7975,-0.296,0.739,0.015,0.6365,-0.33,-0.01,0.865,0.021,0.013,0.953,-0.6095,0.051,-0.6555
0.1295,0.313,0.94,0.4485,-0.42,-0.7175,0.041,0.0015,0.9635,0.015,0.011,0.979,-0.8695,0.018,0.259
0.043,0.0615,0.979,-0.028,-0.4185,-0.799,0.0565,-0.009,0.9595,0.012,0.0025,0.9855,-0.82,0.0065,0.4025
0.079,0.049,0.8815,-0.1415,-0.296,-0.738,-0.505,-0.007,0.7055,0.0185,0.004,0.887,-0.8785,0.0155,-0.178
0.062,0.005,0.9785,0.05,0.0785,-0.9115,-0.1235,-0.0505,0.9385,0.0155,0.0095,0.98,-0.8555,0.006,0.2555
0.03,0.0155,0.9775,0.8805,-0.334,-0.201,-0.206,0.0,0.9365,0.014,-0.0035,0.9795,-0.8335,0.0125,0.363
-0.436,0.0165,0.835,0.6855,0.2835,-0.596,0.027,-0.016,0.9585,0.028,0.0005,0.981,-0.1375,0.014,0.936
-0.2975,0.0935,0.862,0.712,0.047,-0.593,-0.173,-0.0325,0.894,0.032,0.0075,0.921,-0.4345,0.032,0.785
0.0195,0.0165,0.9395,0.0765,-0.126,0.921,0.0505,-0.013,0.9215,0.0115,0.008,0.9455,0.035,0.027,0.9135
0.0285,0.05,0.9805,-0.079,-0.5365,0.749,-0.2,-0.021,0.9295,-0.0005,0.022,0.984,0.0425,0.033,0.9455
0.0525,0.041,0.98,0.0095,0.0255,0.967,-0.8745,0.035,0.08,0.0445,0.0005,0.9795,0.041,0.025,0.9505
0.0455,0.017,0.977,0.007,0.023,0.967,-0.8675,0.036,0.266,0.021,0.014,0.9785,-0.771,0.0425,0.539
-0.0815,0.025,0.971,0.018,-0.32,0.9005,-0.876,0.045,0.1265,-0.0135,0.011,0.987,-0.829,0.016,0.407
0.028,0.0185,0.848,-0.0465,-0.2445,0.7715,-0.7125,0.0095,0.515,0.009,0.012,0.842,-0.5585,0.607,0.152
-0.745,0.181,0.216,0.651,-0.2045,0.0105,-0.2225,0.024,0.298,-0.101,0.0345,0.306,-0.5465,0.2285,-0.103
-0.566,0.0315,0.5355,-0.504,-0.2985,0.416,-0.077,-0.0135,0.649,0.0485,0.046,0.664,-0.571,0.506,0.1155
-0.5085,0.277,0.398,-0.896,-0.0435,0.066,0.0275,0.02,0.543,0.0265,0.0095,0.551,-0.578,0.4415,0.055
-0.233,0.273,0.067,-0.72,0.038,-0.091,-0.179,0.0315,0.272,0.036,0.0325,0.2705,-0.2885,0.132,-0.1775
-0.6085,0.1095,0.175,-0.853,0.0265,0.125,-0.249,0.0375,0.1835,-0.0605,0.061,0.193,0.462,0.0705,-0.109
