0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.031,0.056,0.956,0.0255,0.02,0.9655,0.3475,0.025,0.906,0.018,0.017,0.9385,0.04,-0.067,0.9185
0.0585,0.056,0.981,0.0065,0.0125,0.974,0.254,0.065,0.9415,0.012,-0.01,0.955,0.1495,-0.054,0.929
0.138,-0.0665,-0.4025,0.013,0.025,-0.451,0.1495,0.019,-0.4425,0.116,-0.054,-0.42,-0.3465,0.273,-0.292
0.195,0.0315,-0.013,0.043,-0.009,-0.0475,0.152,0.023,-0.0265,0.2385,0.0035,-0.0395,-0.7855,0.0425,0.0025
0.22,0.1355,0.316,-0.0195,0.039,0.302,0.184,0.0485,0.298,0.162,0.1085,0.285,-0.531,-0.1495,0.1465
0.086,0.095,0.9805,0.019,0.0065,0.978,0.066,0.064,0.965,0.1425,0.2255,0.9235,0.3085,-0.1405,0.8925
0.051,0.0405,0.7855,-0.001,0.0145,0.7785,0.0455,0.047,0.764,0.1215,0.1565,0.7505,0.204,-0.014,0.7395
0.034,0.053,0.9765,0.0155,0.009,0.976,0.0555,0.075,0.967,0.011,0.0225,0.958,0.2845,-0.2065,0.884
0.057,0.0745,0.7115,0.0095,0.021,0.6995,0.083,0.0555,0.6945,0.108,0.148,0.67,0.2615,-0.6335,0.009
0.038,0.0585,0.026,-0.0055,0.016,0.0085,0.05,0.046,0.0205,0.125,0.0365,0.017,0.117,0.0265,0.0215
0.069,0.061,0.3785,0.0075,0.038,0.363,0.05,0.0485,0.3705,0.0535,0.0055,0.3585,-0.0005,-0.2915,-0.011
0.1475,-0.022,-0.7335,0.025,0.0375,-0.7875,0.0565,0.018,-0.782,0.1315,-0.164,-0.7255,-0.234,0.586,0.5655
0.0865,0.006,-0.806,0.0245,0.034,-0.866,0.099,-0.002,-0.8405,0.203,-0.236,-0.7655,-0.299,0.7035,0.481
0.222,-0.1175,-0.771,0.0145,0.0115,-0.8195,0.1585,0.035,-0.81,0.3255,-0.2865,-0.695,-0.5595,0.4025,0.5785
0.312,-0.1375,-0.6645,0.013,0.069,-0.7605,0.202,-0.007,-0.7395,0.31,-0.2525,-0.6415,-0.2105,0.103,0.7625
0.342,-0.007,-0.2035,0.046,0.0305,-0.251,0.277,0.0105,-0.2315,0.3835,-0.107,-0.1935,-0.4735,0.0255,0.237
0.273,0.014,-0.346,0.01,0.0335,-0.3665,0.218,-0.001,-0.3605,0.3635,-0.122,-0.2915,-0.3695,0.0345,0.37
0.391,0.0715,0.2075,0.038,0.0245,0.2105,0.1335,0.0255,0.2105,0.261,0.1045,0.1955,-0.494,0.0585,-0.118
0.3345,-0.1375,-0.755,0.049,0.0225,-0.8735,0.141,0.017,-0.8355,0.2645,-0.236,-0.7675,-0.525,0.213,0.6765
0.248,-0.055,-0.64,0.059,0.0315,-0.698,0.2145,-0.033,-0.6665,0.3595,-0.332,-0.5175,-0.496,0.1405,0.5775
0.195,-0.016,-0.331,0.031,0.031,-0.374,0.348,-0.002,-0.3285,0.347,-0.177,-0.28,-0.372,0.315,0.2625
0.133,0.0095,-0.575,0.024,0.029,-0.626,0.516,-0.0425,-0.546,0.4845,-0.2985,-0.4655,-0.317,0.6165,0.2105
0.1615,0.034,-0.713,0.009,0.026,-0.793,0.3195,-0.0035,-0.733,0.3775,-0.3925,-0.6045,0.3365,0.74,0.2375
0.032,0.0415,-0.805,0.0295,0.061,-0.8715,0.426,0.001,-0.776,0.317,-0.366,-0.727,0.109,0.8765,0.131
0.041,0.027,-0.54,0.0315,0.028,-0.596,0.4265,-0.0155,-0.532,0.362,-0.3285,-0.4325,0.0205,0.628,0.134
0.291,-0.062,-0.8325,0.044,0.0225,-0.8855,0.349,-0.023,-0.835,0.4225,-0.545,-0.5515,-0.1435,0.3665,0.8245
