0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0585,-0.0025,0.9785,0.0535,-0.1245,0.956,0.372,0.049,0.8935,0.002,0.011,0.9805,0.012,-0.122,0.9375
0.042,0.022,0.978,0.037,-0.029,0.959,0.2875,0.069,0.929,0.0225,0.0015,0.983,0.006,-0.15,0.93
0.45,0.1365,0.5835,-0.409,-0.4645,-0.217,0.1555,0.025,0.647,0.013,0.008,0.659,-0.1665,-0.398,0.419
0.512,-0.0235,-0.1665,-0.7945,0.1315,0.0525,0.171,0.0255,-0.196,0.023,0.012,-0.208,-0.193,0.233,-0.0395
0.593,0.093,0.1815,-0.451,-0.139,0.1385,0.233,-0.014,0.226,0.0185,0.0305,0.2405,0.01,-0.1745,0.1205
0.216,0.0465,0.4005,0.003,0.007,0.388,0.0165,0.011,0.385,0.0105,0.023,0.3905,-0.0055,-0.1125,0.3385
0.0235,0.0445,0.5165,0.5495,-0.0885,0.408,0.0285,0.02,0.492,-0.003,0.0155,0.5,0.0085,-0.0795,0.481
0.0335,0.041,0.982,0.0725,0.0285,0.961,0.0495,0.0155,0.958,-0.001,0.02,0.977,0.019,-0.3405,0.869
0.2035,0.038,0.521,0.2785,-0.2865,0.373,0.031,0.0365,0.515,0.019,0.004,0.53,0.008,-0.47,-0.002
0.0955,0.005,0.3355,0.225,-0.2535,0.0335,0.0375,-0.002,0.3165,0.0345,0.0275,0.325,0.163,-0.271,-0.0265
0.233,0.08,0.928,0.116,-0.8055,0.3845,0.0265,0.003,0.92,0.0025,-0.0035,0.941,0.1715,-0.843,-0.189
0.2845,0.0685,0.288,-0.1195,-0.0915,-0.18,0.0675,0.003,0.28,-0.009,0.025,0.29,0.116,-0.152,-0.155
0.273,0.002,-0.056,-0.101,0.089,0.121,0.082,0.04,-0.051,0.0225,0.0205,-0.062,0.1455,0.128,0.0815
0.518,-0.1735,-0.529,0.1095,-0.0705,0.741,0.1785,0.0245,-0.654,0.026,0.031,-0.6965,-0.5045,0.324,0.5005
0.656,-0.2475,-0.286,0.3075,-0.022,0.5835,0.2665,0.0095,-0.5005,0.029,0.024,-0.5355,-0.1415,0.084,0.5555
0.5815,-0.4885,-0.387,0.8125,0.074,0.498,0.313,-0.019,-0.725,0.0795,0.0065,-0.78,-0.3375,0.278,0.692
0.494,-0.335,-0.5785,0.723,-0.0035,0.5825,0.3055,0.009,-0.7475,0.0555,0.012,-0.8,-0.2795,0.2135,0.74
0.5865,-0.261,-0.15,0.957,0.094,0.122,0.161,0.0385,-0.3615,0.06,0.0255,-0.3825,-0.2685,0.2255,0.3395
0.636,-0.0755,-0.056,0.0385,0.0135,0.2195,0.156,0.011,-0.139,0.0105,0.029,-0.164,-0.3005,0.1185,0.1615
0.507,-0.399,-0.63,0.3675,-0.0885,0.8655,0.28,-0.0155,-0.818,0.029,0.0235,-0.885,-0.2555,0.4325,0.7755
0.383,-0.3025,-0.734,0.2935,-0.609,0.645,0.444,-0.049,-0.772,0.0345,0.052,-0.8865,-0.4055,0.6195,0.578
0.2575,-0.1185,-0.829,0.148,-0.365,0.831,0.5985,-0.071,-0.675,0.025,0.0295,-0.897,-0.807,0.072,0.3605
0.3045,-0.1095,-0.811,-0.056,-0.1985,0.9005,0.4215,-0.022,-0.7745,0.031,0.0,-0.874,-0.403,0.6975,0.358
0.0225,0.015,-0.646,0.1135,0.3545,0.659,0.539,0.034,-0.5675,0.003,0.0185,-0.686,-0.452,0.5865,0.165
0.0975,0.0645,-0.8475,0.13,0.7995,0.4905,0.514,0.054,-0.759,0.037,0.038,-0.8835,-0.456,0.7175,0.302
0.6015,-0.192,-0.421,0.001,0.114,0.657,0.4135,-0.0135,-0.5395,0.0505,0.039,-0.5985,-0.136,0.202,0.5845
0.284,-0.04,-0.8085,-0.2235,0.7725,0.441,0.5845,-0.0145,-0.698,0.023,0.011,-0.8835,0.057,0.174,0.894
0.177,-0.027,-0.671,-0.4055,0.6255,0.2825,0.4475,-0.0195,-0.6225,0.0245,0.01,-0.726,0.1945,0.6485,0.337
0.3395,0.015,-0.42,0.1845,0.415,0.35,0.4515,-0.099,-0.38,0.027,0.0465,-0.4655,0.1025,0.193,0.454
0.7125,-0.0625,-0.3435,0.5865,0.4655,0.1735,0.2825,-0.0675,-0.5115,0.009,0.047,-0.5375,0.051,0.107,0.559
0.172,0.0135,0.2125,0.062,-0.1175,0.023,0.171,0.031,0.2,-0.0015,0.03,0.2005,0.209,-0.0075,-0.138
0.035,0.016,-0.221,0.0605,0.179,-0.227,0.166,-0.0095,-0.2505,0.032,0.0275,-0.2425,0.485,0.092,0.2635
0.5435,-0.0195,-0.1785,0.014,0.136,-0.2265,0.3665,-0.018,-0.2,0.0315,0.0165,-0.232,0.5325,0.105,0.2285
0.6855,0.157,0.246,-0.375,-0.0705,0.289,0.375,0.136,0.331,-0.027,0.0755,0.359,0.728,-0.118,-0.178
0.5125,0.191,0.771,0.0375,0.0195,0.9195,0.354,0.2965,0.82,-0.012,0.0295,0.9305,0.348,-0.1155,-0.7965
0.3305,0.324,-0.838,-0.251,0.8465,-0.3445,0.2855,0.224,0.915,0.038,0.023,0.9805,-0.3275,-0.2305,0.8315
0.2495,0.321,-0.8645,0.002,0.0985,-0.8955,0.412,0.323,0.821,-0.0005,0.012,0.9835,-0.333,-0.2635,0.8495
0.8045,0.5175,-0.222,-0.4235,0.493,-0.592,0.3925,0.2745,0.8295,0.0225,-0.008,0.9455,-0.4585,-0.3035,0.688
0.7875,0.396,-0.438,-0.6905,0.4365,-0.406,0.4145,0.347,0.7945,0.0125,0.0265,0.979,-0.3525,-0.238,0.825
0.845,0.36,-0.381,-0.4965,-0.1175,-0.7155,0.497,0.3835,0.7615,0.006,-0.0025,0.9825,0.377,-0.2875,0.8525
0.771,0.0835,-0.096,-0.6055,0.1095,-0.093,0.442,0.105,0.1995,0.096,0.148,0.237,0.763,-0.1295,0.0295
0.6655,0.114,-0.3425,0.024,0.043,-0.468,0.558,0.2575,0.4135,0.0255,0.0255,0.549,0.7025,-0.2895,-0.17
0.399,0.1915,-0.816,0.1125,-0.202,-0.8535,0.5395,0.4315,0.671,0.0185,-0.0055,0.9585,0.7375,-0.6025,-0.1305
0.8025,0.056,-0.5305,-0.113,0.6415,-0.661,0.453,0.3125,0.8005,0.031,0.029,0.9555,0.675,-0.5205,-0.3945
0.6485,0.23,-0.64,-0.054,-0.3815,-0.785,0.5415,0.3975,0.703,0.051,0.0345,0.9635,0.243,0.906,-0.0125
0.844,0.14,-0.3945,-0.117,0.794,-0.1805,0.4395,0.425,0.597,0.015,0.05,0.825,0.2305,0.775,-0.133
0.4885,0.053,0.0865,-0.403,0.0475,0.059,0.5325,0.033,-0.012,0.0385,0.0285,-0.024,0.2,0.0455,0.077
0.182,0.135,-0.5025,-0.282,0.236,-0.4285,0.544,0.398,0.3185,0.044,0.009,0.577,0.2385,0.584,-0.0265
0.471,0.2145,-0.5735,-0.4715,0.509,0.2535,0.5605,0.4305,0.391,0.0305,-0.0575,0.6885,-0.6095,0.295,-0.3335
0.447,0.4305,-0.615,-0.152,-0.525,-0.594,0.464,0.63,0.4805,0.0505,0.0125,0.8745,-0.7705,0.427,0.0385
0.947,0.122,-0.0495,0.1495,-0.33,0.1495,0.443,0.284,0.2695,-0.006,0.0505,0.4115,-0.6065,0.1865,-0.16
0.503,0.5,-0.225,-0.216,-0.477,0.3125,0.437,0.4605,0.391,0.0315,-0.001,0.664,-0.285,0.163,-0.548
0.593,0.6615,-0.368,0.633,-0.253,0.664,0.425,0.6525,0.5855,0.033,0.0345,0.967,-0.292,0.23,-0.807
-0.157,0.367,-0.85,0.2975,-0.631,-0.5755,0.4365,0.6975,0.5545,0.018,0.0025,0.985,-0.7465,0.445,-0.095
-0.1395,0.246,-0.8745,-0.1835,-0.4945,-0.6915,0.4475,0.7085,0.5265,0.0185,-0.004,0.986,-0.7785,0.4785,0.0505
-0.125,0.1865,-0.803,-0.3385,-0.343,-0.644,0.4225,0.592,0.577,0.0015,0.026,0.8885,-0.633,0.3485,-0.4255
-0.1465,0.1485,-0.893,-0.1235,-0.0885,-0.882,0.421,0.6975,0.559,0.0085,0.003,0.977,-0.757,0.4725,-0.1385
-0.2215,0.1535,-0.8865,0.714,-0.385,-0.5065,0.418,0.668,0.5825,0.046,0.0265,0.982,-0.7755,0.488,0.03
-0.407,0.2085,-0.7845,0.485,0.075,-0.785,0.4235,0.6835,0.5265,0.0115,0.003,0.9805,-0.4695,0.2595,0.7665
-0.3365,0.202,-0.781,0.505,-0.039,-0.762,0.418,0.634,0.544,-0.003,0.034,0.929,-0.638,0.3545,0.502
-0.177,0.145,-0.844,0.255,-0.4405,0.796,0.4305,0.667,0.5145,0.005,0.0075,0.943,-0.306,0.2095,0.8025
-0.169,0.1305,-0.8805,-0.2315,-0.7315,0.486,0.414,0.65,0.597,0.0095,0.0095,0.9765,-0.3605,0.198,0.846
-0.1625,0.1195,-0.8725,-0.1815,-0.3315,0.8695,0.374,0.5805,0.7205,0.0045,0.0065,0.9795,-0.327,0.2125,0.844
-0.176,0.1355,-0.8785,0.19,-0.364,0.8625,0.3715,0.573,0.707,0.015,0.0185,0.9705,-0.7745,0.492,0.156
-0.2505,0.156,-0.871,-0.008,-0.6435,0.681,0.365,0.579,0.7,0.037,-0.002,0.975,-0.771,0.4995,0.02
-0.177,0.125,-0.7305,-0.2105,-0.4835,0.5785,0.4015,0.522,0.5495,-0.002,0.0005,0.8215,-0.193,0.7575,-0.13
-0.5685,0.1475,-0.1605,0.475,-0.2075,-0.0745,0.4275,0.2325,0.182,0.0285,-0.001,0.3235,-0.1405,0.2165,-0.172
-0.4525,0.196,-0.4785,-0.6685,-0.328,0.213,0.4345,0.4525,0.4145,-0.008,0.002,0.6885,-0.2165,0.6045,-0.113
-0.43,0.2395,-0.3635,-0.844,-0.0715,-0.1105,0.452,0.41,0.308,-0.036,0.011,0.5605,-0.1825,0.509,-0.139
-0.4525,0.2005,-0.123,-0.541,0.0395,-0.1465,0.433,0.1685,0.1535,0.0325,0.0335,0.266,-0.0075,0.0995,-0.1995
-0.511,0.0935,-0.061,-0.8725,0.007,0.05,0.4205,0.162,0.1085,0.0945,-0.036,0.16,0.4625,0.071,-0.089
-0.6385,-0.031,0.194,-0.702,0.108,0.166,0.4045,-0.099,-0.13,0.066,-0.0385,-0.202,0.2935,-0.014,0.2275
-0.646,0.1135,-0.0255,-0.3905,-0.0415,-0.047,0.453,0.13,0.102,0.03,-0.0355,0.154,0.555,0.075,-0.068
-0.3215,0.1315,-0.5595,-0.5575,0.005,0.5465,0.4595,0.486,0.3535,0.047,-0.033,0.6815,0.76,0.329,0.318
-0.189,0.1295,-0.757,-0.629,0.036,0.6065,0.4365,0.5835,0.4515,-0.0065,-0.013,0.8345,0.715,0.1395,0.587
-0.33,0.1585,-0.4735,-0.45,-0.07,0.536,0.439,0.409,0.3645,0.0585,-0.0405,0.6195,0.862,0.111,0.298
-0.4885,0.166,-0.2165,-0.8485,0.0585,0.1495,0.4175,0.269,0.242,0.1475,-0.044,0.394,0.953,0.126,0.046
-0.448,0.207,-0.357,-0.8685,0.044,0.1705,0.408,0.297,0.341,0.111,-0.103,0.4885,0.9575,0.123,0.069
-0.426,0.2575,-0.412,-0.754,0.003,-0.2465,0.4225,0.379,0.3835,0.074,-0.0325,0.5965,0.66,-0.224,0.3345
-0.505,0.163,-0.161,-0.296,0.033,-0.2165,0.403,0.154,0.192,0.076,-0.0105,0.2965,0.612,-0.0765,0.2135
-0.5665,0.06,0.0755,0.1415,0.0445,0.0715,0.4605,0.03,0.002,0.0395,0.0455,-0.018,0.6065,0.029,0.016
-0.6805,0.3125,-0.1535,-0.1515,-0.037,-0.4685,0.419,0.372,0.3545,-0.0015,0.004,0.5585,0.6375,-0.2255,0.345
-0.6515,0.1795,-0.05,-0.4005,-0.0955,-0.1325,0.391,0.1665,0.1975,0.0495,-0.032,0.2895,0.405,-0.054,0.254
-0.6025,0.1475,-0.081,-0.377,-0.1045,-0.0985,0.42,0.1895,0.2035,0.027,-0.055,0.265,0.708,0.04,0.193
