0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0315,0.027,0.978,-0.045,-0.0745,0.962,0.138,0.5785,0.7795,0.005,0.021,0.986,0.125,0.1335,0.94
0.016,0.0335,0.982,0.0605,0.003,0.974,0.117,0.4165,0.8635,0.0125,0.0275,0.982,0.14,0.1825,0.948
-0.087,-0.4735,0.3515,-0.8635,-0.099,0.0605,0.067,0.1275,0.6155,0.004,0.0365,0.6425,0.41,0.381,0.4545
-0.3985,0.272,-0.0545,-0.7865,-0.039,-0.085,0.1165,-0.026,-0.184,0.018,0.053,-0.202,0.5255,-0.1635,-0.0485
-0.37,-0.099,0.091,-0.66,0.043,0.1435,0.079,0.1,0.2275,0.0225,0.0505,0.247,0.514,0.163,0.152
0.1335,-0.1005,0.372,0.042,0.0335,0.3965,0.0275,0.009,0.401,0.046,0.02,0.4145,0.1815,0.13,0.3865
0.062,0.0395,0.4975,0.0135,-0.1905,0.4325,0.0355,0.0265,0.474,0.025,0.039,0.488,0.1845,0.1025,0.456
0.065,0.026,0.976,0.0725,-0.0135,0.9665,0.0235,0.054,0.966,0.012,0.013,0.9855,0.262,0.313,0.879
0.317,-0.06,0.4785,-0.2455,-0.1775,0.4405,0.0525,-0.0005,0.517,0.022,0.035,0.517,0.69,0.389,0.0035
0.1225,-0.0065,0.3275,-0.5215,-0.154,0.1705,0.0655,0.0285,0.321,0.02,0.0125,0.3265,0.7405,0.207,-0.014
-0.0405,-0.292,0.892,-0.5345,-0.419,0.593,0.0475,-0.012,0.9395,-0.0105,0.0425,0.9635,0.699,0.642,-0.185
-0.393,-0.056,0.2625,-0.709,-0.0695,-0.082,0.046,0.074,0.3125,0.013,0.031,0.311,0.3545,0.171,-0.175
-0.316,0.076,-0.0605,-0.681,0.0665,0.1,0.0745,0.018,-0.0985,0.0295,0.0135,-0.1,0.409,-0.058,0.089
-0.8065,0.074,-0.1615,-0.4005,0.029,0.6795,0.149,-0.164,-0.6225,0.033,0.0325,-0.7005,0.1425,-0.4915,0.4865
-0.8305,0.0975,0.2465,-0.2445,-0.0285,0.567,0.171,-0.1465,-0.4775,0.028,0.028,-0.5385,0.063,-0.127,0.5625
-0.523,-0.481,0.41,0.158,0.111,0.8295,0.265,-0.3215,-0.6455,0.025,0.0205,-0.796,0.095,-0.3835,0.6815
-0.3865,-0.643,-0.006,0.0895,0.0585,0.848,0.23,-0.275,-0.68,0.0465,0.045,-0.7915,0.115,-0.342,0.731
-0.644,-0.0745,0.296,0.376,0.1445,0.398,0.111,-0.045,-0.3675,0.0305,0.021,-0.393,0.1065,-0.2175,0.3205
-0.8075,0.0125,0.086,-0.4205,0.034,0.1845,0.1085,-0.012,-0.1435,0.009,0.0095,-0.152,0.134,-0.0725,0.155
-0.864,0.022,-0.032,-0.207,-0.0505,0.9,0.1425,-0.3365,-0.755,0.028,-0.0045,-0.8885,0.0695,-0.4685,0.735
-0.598,-0.4445,-0.3395,0.0965,0.0075,0.945,0.258,-0.5705,-0.5745,0.0705,0.028,-0.8975,0.1175,-0.6895,0.5475
-0.057,-0.4515,-0.676,-0.1585,0.13,0.919,0.5145,-0.642,-0.313,0.018,0.009,-0.881,0.1825,-0.8035,0.3185
0.083,-0.547,-0.619,-0.136,0.3505,0.8525,0.2305,-0.5175,-0.622,0.0315,0.019,-0.881,0.6355,-0.6085,0.336
0.0675,0.0425,-0.6785,-0.502,0.466,0.4445,0.2785,-0.501,-0.3915,0.0215,0.053,-0.7235,0.963,0.055,0.121
0.0065,-0.0635,-0.8495,-0.629,0.6655,0.128,0.261,-0.634,-0.5235,0.0425,0.056,-0.8885,0.952,0.0045,0.2325
-0.251,-0.569,-0.022,-0.5085,0.225,0.504,0.234,-0.3715,-0.4485,0.0295,0.016,-0.6085,0.257,-0.1735,0.57
-0.4315,-0.1145,-0.684,-0.81,0.354,0.08,0.115,-0.7465,-0.3715,0.038,0.0175,-0.879,0.158,-0.1745,0.868
-0.247,0.16,-0.6225,-0.8515,0.1955,-0.0045,0.08,-0.4735,-0.4295,0.014,0.007,-0.722,0.5385,-0.496,0.3005
-0.5195,0.1025,-0.3085,-0.5745,0.3895,0.1505,0.091,-0.344,-0.2375,0.0305,0.0185,-0.459,-0.3585,-0.0365,0.444
0.833,0.3595,0.0545,-0.3145,0.5455,-0.03,0.1195,-0.223,-0.444,0.0185,0.017,-0.512,-0.1205,0.1035,0.5455
0.162,-0.02,0.172,-0.612,-0.053,0.1045,0.304,0.0665,0.177,0.0155,0.036,0.173,0.173,0.0055,-0.126
0.036,0.0575,-0.2285,-0.2205,0.1205,-0.2205,0.248,-0.018,-0.2395,0.006,0.002,-0.2535,0.3865,-0.0395,0.2575
0.0685,0.2945,-0.057,-0.1445,0.106,-0.2295,0.4745,-0.098,-0.153,0.009,0.0215,-0.257,0.4325,-0.082,0.2585
-0.345,0.375,0.0115,-0.374,0.0525,0.326,0.5125,0.232,0.2535,-0.019,-0.0085,0.363,0.6285,0.187,-0.171
-0.2125,0.828,0.38,0.0115,0.015,0.9135,0.5345,0.557,0.5895,0.0405,0.028,0.924,0.283,0.1585,-0.822
0.2495,-0.6695,0.6025,0.0575,0.967,0.0055,0.6215,0.1425,0.779,0.034,0.014,0.9775,0.4455,0.347,0.795
-0.1625,-0.6065,0.665,0.1125,0.6,-0.6895,0.796,0.166,0.585,0.013,0.013,0.977,0.44,0.3245,0.775
0.0285,-0.4155,-0.764,-0.2465,0.83,-0.216,0.743,0.123,0.612,-0.0175,-0.0265,0.9365,0.5805,0.419,0.6215
-0.2055,-0.6485,-0.5435,-0.488,0.802,-0.048,0.8645,0.2115,0.451,0.0385,0.0105,0.986,0.4545,0.3345,0.8045
-0.6335,0.0,-0.6155,-0.763,0.3375,-0.34,0.6775,0.6245,0.3985,-0.0035,0.037,0.984,0.4815,0.3435,0.7925
-0.426,-0.0965,-0.032,-0.524,0.1765,-0.01,0.6425,0.1475,0.151,-0.086,-0.101,0.266,0.785,0.147,0.0175
-0.3695,-0.382,0.0305,-0.1035,0.341,-0.345,0.7245,0.377,0.1345,-0.0275,0.0005,0.5375,0.7065,0.2695,-0.2275
-0.0115,-0.6725,0.6285,0.0375,0.3715,-0.811,0.729,0.65,0.204,0.022,0.024,0.9625,0.7665,0.547,-0.223
-0.257,-0.747,-0.2905,0.202,0.864,-0.3025,0.6155,0.533,0.519,0.021,0.0295,0.955,0.6935,0.4825,-0.46
-0.707,-0.4695,0.028,0.1165,0.233,-0.848,0.2005,0.8815,0.2925,0.015,-0.0055,0.963,0.7735,0.559,-0.127
-0.4335,-0.467,-0.391,0.204,0.7945,0.065,0.2005,0.777,0.242,0.0225,-0.0085,0.836,0.0335,0.7715,-0.2
-0.4595,0.053,0.0005,-0.151,0.0155,0.053,0.224,0.021,0.0325,0.034,0.004,-0.0125,0.0125,0.018,0.0305
-0.2495,-0.1995,0.505,-0.267,0.4835,-0.249,0.2125,0.564,-0.061,0.0235,0.0425,0.597,0.02,0.5675,-0.083
0.177,-0.522,0.317,-0.098,0.5375,0.3865,-0.147,0.6445,-0.0875,0.0125,0.0505,0.6635,0.045,0.507,-0.3715
0.1905,-0.768,0.1335,-0.7505,-0.2855,-0.23,-0.152,0.817,-0.1025,0.015,0.014,0.88,-0.7135,0.504,-0.0085
0.1815,-0.081,-0.35,-0.521,-0.165,0.2915,-0.1665,0.4145,0.0195,0.0,0.0195,0.4345,-0.5455,0.2005,-0.2235
0.5405,-0.2585,-0.4055,-0.612,-0.114,0.4635,-0.164,0.6405,0.0055,0.012,0.037,0.6815,-0.243,0.1495,-0.5755
0.0035,-0.6245,-0.6065,0.0655,-0.5205,0.7455,-0.167,0.929,-0.015,0.0295,0.0215,0.9505,-0.212,0.2,-0.8185
0.707,0.162,0.659,-0.513,-0.696,-0.1795,-0.1645,0.9215,-0.1015,0.0025,0.044,0.981,-0.727,0.534,-0.145
0.537,-0.113,0.805,-0.771,-0.261,-0.2945,-0.1665,0.922,-0.1585,0.02,-0.0005,0.98,-0.743,0.545,-0.047
0.4805,-0.1775,0.778,-0.792,-0.0085,-0.3495,-0.2095,0.8525,0.0375,0.008,0.02,0.908,-0.578,0.4185,-0.4975
0.3185,-0.378,0.8285,-0.5785,0.0765,-0.635,-0.169,0.931,-0.0895,0.0175,-0.0135,0.9835,-0.714,0.54,-0.199
-0.2535,-0.369,0.8105,0.091,-0.102,-0.884,-0.214,0.9165,-0.089,0.0005,0.021,0.978,-0.7415,0.563,-0.0165
-0.766,0.031,0.5185,-0.1435,0.1705,-0.872,-0.1625,0.9145,-0.129,0.031,-0.003,0.9795,-0.505,0.3765,0.711
-0.6855,0.032,0.5915,-0.099,0.197,-0.8365,-0.136,0.8735,-0.08,0.0005,0.0375,0.931,-0.6435,0.4465,0.4615
0.003,-0.4515,0.8015,0.0865,-0.864,-0.0865,-0.168,0.8815,-0.143,0.023,0.0145,0.9555,-0.397,0.3065,0.7695
0.159,-0.465,0.8405,-0.399,-0.6425,-0.3935,-0.183,0.9345,-0.0385,0.018,0.027,0.978,-0.386,0.327,0.8045
0.4195,-0.318,0.824,-0.597,-0.6185,0.039,-0.1535,0.9065,0.3015,-0.013,0.015,0.9775,-0.402,0.2975,0.8005
0.4815,-0.2305,0.8185,-0.01,-0.8995,0.025,-0.1485,0.9035,0.2055,0.0145,0.034,0.975,-0.7375,0.55,0.078
0.5335,-0.242,0.7565,-0.3015,-0.7875,-0.213,-0.1635,0.919,0.265,-0.014,0.0,0.9825,-0.716,0.5685,-0.0715
0.536,0.052,0.6965,-0.474,-0.572,-0.181,0.0535,0.8075,0.114,-0.008,0.0235,0.8295,-0.6955,0.433,-0.1965
0.9635,-0.03,-0.003,0.072,-0.0605,-0.263,0.0625,0.3345,0.013,-0.0075,0.012,0.3375,-0.475,0.135,-0.2045
0.915,0.1,0.296,-0.5855,-0.2,-0.317,0.0665,0.664,-0.0455,-0.003,0.0145,0.683,-0.706,0.367,-0.1875
0.897,-0.145,0.136,-0.3135,0.008,-0.448,0.063,0.546,-0.0895,0.032,0.0245,0.583,-0.677,0.294,-0.1845
0.639,-0.111,-0.054,0.1125,0.0525,-0.198,0.062,0.265,-0.011,-0.0085,-0.0095,0.2565,-0.111,0.053,-0.211
0.8385,-0.055,0.0625,-0.4925,0.0305,-0.098,0.4175,0.1905,0.0015,-0.0385,0.0555,0.222,-0.3085,0.0875,-0.139
0.175,0.2555,0.1265,-0.0695,0.043,0.2185,0.413,-0.161,0.0305,0.0275,0.0455,-0.1605,-0.214,-0.01,0.193
0.1955,-0.0665,-0.024,-0.0285,0.0295,-0.0925,0.401,0.153,0.0105,0.012,0.039,0.1605,-0.455,0.0715,-0.08
0.4275,-0.3585,0.46,-0.8745,-0.0065,-0.071,0.382,0.607,-0.082,-0.0535,0.005,0.6585,-0.6835,0.384,0.298
-0.0245,-0.4015,0.6735,-0.855,-0.018,-0.1755,0.48,0.693,-0.107,0.041,-0.02,0.815,-0.5655,0.385,0.5125
0.393,-0.366,0.355,-0.8695,-0.0775,0.0015,0.519,0.5355,-0.033,-0.0755,0.066,0.638,-0.6695,0.3335,0.27
0.801,-0.2025,0.0545,-0.696,0.04,-0.158,0.4875,0.3585,0.0135,-0.148,0.1465,0.399,-0.752,0.234,0.0385
0.487,-0.334,0.1945,-0.668,0.0495,-0.2335,0.501,0.4515,0.066,-0.083,0.0835,0.4865,-0.727,0.311,0.04
0.6885,-0.3545,0.169,-0.1675,0.0315,-0.479,0.6805,0.4315,0.0555,-0.02,0.0525,0.571,-0.635,0.2805,0.315
0.7375,-0.1415,0.038,0.352,0.0715,-0.1765,0.695,0.2075,0.01,0.083,-0.0015,0.25,-0.5545,0.1365,0.1585
0.528,0.0595,0.037,0.6015,0.041,0.0375,0.697,0.004,0.044,0.12,-0.053,0.006,-0.5775,0.051,0.0325
0.128,-0.3265,-0.3425,0.3195,0.1685,-0.449,0.7105,0.3965,0.0075,0.0405,0.0155,0.5555,-0.61,0.26,0.335
0.3165,-0.139,-0.1115,-0.025,0.02,-0.1995,0.6925,0.2115,0.043,0.013,0.015,0.268,-0.401,0.116,0.242
0.0925,-0.145,-0.093,-0.0015,-0.002,-0.189,0.5785,0.2145,0.0145,0.0375,0.0075,0.2495,-0.564,0.135,0.192
0.196,-0.4845,-0.2995,-0.691,-0.1335,-0.335,0.5815,0.561,0.154,0.0155,0.0045,0.689,-0.4145,0.2405,0.556
0.3975,-0.644,-0.136,-0.132,-0.398,-0.5415,0.581,0.6405,0.143,0.0165,0.0305,0.7655,-0.6875,0.424,0.302
-0.3555,-0.7465,0.249,-0.188,-0.371,-0.777,0.5545,0.787,-0.1485,0.026,0.0295,0.9815,-0.586,0.448,-0.4965
-0.621,-0.292,-0.307,-0.5175,-0.52,0.0335,0.536,0.642,-0.003,0.029,-0.0005,0.7375,-0.247,0.171,-0.593
-0.374,-0.2555,-0.1855,0.054,-0.446,0.018,0.5325,0.448,0.027,0.0255,0.0365,0.506,-0.0515,0.072,-0.4375
-0.312,-0.2315,-0.506,-0.0645,-0.341,-0.51,0.55,0.619,0.069,0.0305,0.024,0.712,0.4445,-0.178,-0.532
0.531,-0.5025,-0.544,-0.243,-0.646,-0.4345,0.54,0.7665,0.07,-0.0085,0.019,0.9095,-0.1415,0.158,-0.799
0.6635,0.3385,-0.644,-0.3785,-0.7745,-0.102,0.7035,0.7005,-0.0565,-0.0005,0.035,0.9805,0.12,-0.019,-0.892
0.242,0.0475,-0.9095,-0.492,-0.667,-0.2565,0.713,0.6705,0.106,0.0145,0.071,0.985,0.3385,-0.188,-0.829
-0.261,0.0735,-0.846,-0.032,-0.88,0.015,0.7015,0.682,0.084,0.0185,0.016,0.9685,0.2155,-0.088,-0.88
0.096,-0.116,-0.8825,-0.154,-0.702,-0.4605,0.706,0.683,0.027,0.022,-0.009,0.97,-0.0445,0.087,-0.89
0.0135,0.0335,-0.889,0.3905,-0.6565,-0.4675,0.687,0.6585,-0.1435,0.012,0.018,0.9465,0.545,-0.3,-0.665
0.3265,0.2475,-0.589,0.3145,-0.413,-0.4215,0.665,0.526,-0.046,0.006,0.0465,0.7095,0.5325,-0.2105,-0.488
-0.13,-0.23,-0.503,-0.4405,-0.435,-0.1785,0.68,0.477,0.119,0.0555,0.0105,0.636,-0.4715,0.243,-0.422
0.041,0.2685,0.2945,-0.261,0.1425,0.344,0.6495,-0.19,-0.067,0.0495,0.0105,-0.317,-0.218,-0.021,0.339
0.0175,-0.0585,-0.136,0.2975,0.1015,-0.137,0.6255,0.1485,0.123,0.026,0.015,0.2245,0.2365,-0.0055,-0.1695
0.1055,-0.0605,-0.032,0.166,0.073,-0.0715,0.769,0.1045,0.063,0.003,0.0325,0.159,0.0615,0.0335,-0.107
0.2585,0.211,0.0325,0.3385,-0.0245,0.178,0.7185,-0.053,-0.0655,0.057,0.0135,-0.1375,-0.1735,0.039,0.182
0.7095,-0.1095,0.1345,0.1135,0.078,-0.1885,0.6435,0.0985,0.167,0.0475,0.026,0.264,-0.3975,0.0225,-0.175
0.5165,-0.0195,0.2685,-0.5485,-0.0475,-0.1495,0.631,0.121,0.23,-0.067,0.0455,0.3235,-0.5965,0.025,-0.188
0.711,0.018,0.0185,-0.261,0.059,0.076,0.8745,0.0335,0.0375,-0.007,0.099,0.0055,-0.477,0.0495,0.0325
0.652,-0.059,0.15,0.0875,0.0445,-0.0995,0.462,0.0595,0.1555,0.021,0.01,0.1705,-0.165,0.048,-0.118
0.4135,0.131,-0.191,-0.2615,0.07,0.2845,0.434,0.0325,-0.208,0.01,0.0515,-0.2295,-0.429,0.036,0.243
0.5955,-0.06,0.405,0.0375,0.026,-0.445,0.5155,0.065,0.444,0.0345,0.0285,0.5195,-0.7275,0.013,-0.2625
0.3765,0.062,0.013,-0.342,0.0575,0.087,0.6095,0.021,-0.0085,0.003,0.0255,-0.02,-0.139,0.0235,0.0595
0.5575,0.123,0.8445,-0.836,-0.0565,-0.2815,0.6175,0.215,0.7545,0.018,0.029,0.985,-0.8975,0.025,0.0705
0.5425,0.114,0.8465,-0.41,-0.1455,-0.74,0.698,0.2935,0.634,0.029,0.0175,0.9815,-0.696,0.0405,-0.5475
