Data,Zamkniecie
1991-09-10,0.4936174395552172
1991-09-17,0.4866873703855207
1991-09-24,0.4861744935159357
1991-10-01,0.48784928902178737
1991-10-08,0.5077787096564202
1991-10-15,0.6232890958893406
1991-10-22,0.7157905326919355
1991-10-29,0.7928909876946146
1991-11-05,0.736078621518274
1991-11-12,0.7299581747465388
1991-11-19,0.8106906352090018
1991-11-26,0.8234862859018762
1991-12-03,0.8456876474503063
1991-12-10,0.8951086898448388
1991-12-17,0.9349174410308856
1991-12-31,0.9219325190163852
1992-01-07,0.9289884093307578
1992-01-09,0.9256849317194017
1992-01-14,0.9328403919677005
1992-01-16,0.9322254187664484
1992-01-21,0.9299568606498623
1992-01-23,0.915008098487382
1992-01-28,0.9156363189411963
1992-01-30,0.914406335283263
1992-02-04,0.911157160490427
1992-02-06,0.8864947443336701
1992-02-11,0.8405772788984076
1992-02-13,0.7825792376693473
1992-02-18,0.738144579467986
1992-02-20,0.7390610151018635
1992-02-25,0.6419819628261366
1992-02-27,0.6184817554501352
1992-03-03,0.5754397987231034
1992-03-05,0.47703597889881927
1992-03-10,0.3860612059748147
1992-03-12,0.3843251364237254
1992-03-17,0.3458625246844477
1992-03-19,0.3539912783734379
1992-03-24,0.331123753525342
1992-03-26,0.3362705264566775
1992-03-31,0.33139736572447764
1992-04-02,0.32972380061288864
1992-04-07,0.3369375682188605
1992-04-09,0.33694253756923537
1992-04-14,0.33874995361511734
1992-04-16,0.31946242827866106
1992-04-23,0.27796205334387064
1992-04-28,0.3037374190715661
1992-04-30,0.31052782698363873
1992-05-05,0.3033508771607477
1992-05-07,0.30187114436982054
1992-05-12,0.3183000374839402
1992-05-14,0.2954581988954153
1992-05-19,0.29401548970057584
1992-05-21,0.2970625270714795
1992-05-26,0.290794853832253
1992-05-28,0.28813244986234715
1992-06-02,0.2658605946313295
1992-06-04,0.27407253724912534
1992-06-09,0.27326531333943155
1992-06-11,0.2702231586769123
1992-06-16,0.2700175865601282
1992-06-23,0.30480114395438346
1992-06-25,0.35964219422147886
1992-06-30,0.5106168790849014
1992-07-02,0.6175200147097405
1992-07-07,0.690394452643524
1992-07-09,0.6708865950292078
1992-07-14,0.6760765045609415
1992-07-16,0.6732410210169555
1992-07-21,0.6834367152239673
1992-07-23,0.6849872116739109
1992-07-28,0.681906895295936
1992-07-30,0.6704784146746016
1992-08-04,0.6803984354188694
1992-08-06,0.6796926608810032
1992-08-11,0.6791012131951905
1992-08-13,0.6790721031861118
1992-08-18,0.6668710620878882
1992-08-20,0.659646358278629
1992-08-25,0.6438129257224074
1992-08-27,0.641390687956407
1992-09-01,0.5990067919673909
1992-09-03,0.5936029041229696
1992-09-08,0.5195983674959053
1992-09-10,0.41427377805639565
1992-09-15,0.30712443878640033
1992-09-17,0.3164061117402249
1992-09-22,0.2847062790188741
1992-09-24,0.28228009371216417
1992-09-29,0.2727020079890221
1992-10-01,0.27600917149748144
1992-10-06,0.27687496340281664
1992-10-08,0.30094079846453947
1992-10-13,0.30638659410576685
1992-10-15,0.3064778808138325
1992-10-20,0.3353297077157299
1992-10-22,0.33731520793281317
1992-10-27,0.3338257935517864
1992-10-29,0.35210305090479876
1992-11-03,0.3604947645291557
1992-11-05,0.3443764622464551
1992-11-10,0.3370583889883445
1992-11-12,0.33702103048600457
1992-11-17,0.332685535820336
1992-11-19,0.3309439273063979
1992-11-24,0.3284357965321104
1992-11-26,0.32840986583600357
1992-12-01,0.3634831705912786
1992-12-03,0.387100822160744
1992-12-08,0.38117743518869707
1992-12-10,0.37485633295252196
1992-12-15,0.3733768108355773
1992-12-17,0.35408696142324964
1992-12-22,0.3348841045368133
1992-12-29,0.33448335314911404
1993-01-04,0.30886078447000537
1993-01-05,0.3032813732070001
1993-01-07,0.30379700386011443
1993-01-11,0.28639531291055326
1993-01-12,0.2745387516735586
1993-01-14,0.27355980581114736
1993-01-18,0.27278096384977746
1993-01-19,0.27398577686385567
1993-01-21,0.27343645859610133
1993-01-25,0.28098348730890643
1993-01-26,0.275628833318974
1993-01-28,0.26763390763977185
1993-02-01,0.20945307991830742
1993-02-02,0.13572867255027377
1993-02-04,0.13127726912797383
1993-02-08,0.131150488670231
1993-02-09,0.1309935590715875
1993-02-11,0.12644919686472078
1993-02-15,0.11524977156143924
1993-02-16,0.11712618532754092
1993-02-18,0.12418873805106435
1993-02-22,0.12107651057763652
1993-02-23,0.12484789606572196
1993-02-25,0.1260688632067451
1993-03-01,0.13522905631556678
1993-03-02,0.16932619188798134
1993-03-04,0.19076983332178307
1993-03-08,0.21015580271295659
1993-03-09,0.23024379050915708
1993-03-11,0.22412008343627318
1993-03-15,0.24951443936668644
1993-03-16,0.2531339841520387
1993-03-18,0.25536712993653277
1993-03-22,0.2549836439022028
1993-03-23,0.25682902797098395
1993-03-25,0.25682983670697684
1993-03-29,0.2539442851691213
1993-03-30,0.25024127409016295
1993-04-01,0.2567690754817518
1993-04-05,0.25703770928460307
1993-04-06,0.24419369214989603
1993-04-08,0.2509791901976517
1993-04-13,0.2936282927979399
1993-04-15,0.3544725902444865
1993-04-19,0.3998237469433327
