Data,ING,MBANK,PEKAO,PKO,SANTANDER
2014-12-05,0.8683858157140151,1.5839540155440412,1.2161767118133706,1.3046403887098288,1.6437420847782411
2014-12-12,0.8370923389440819,1.5199158031088082,1.1874459193871871,1.2671151938853333,1.5342037038264917
2014-12-19,0.7967850867739175,1.5439604922279793,1.1702547635148939,1.2220870241880635,1.5753446229536456
2014-12-26,0.8191758274057963,1.5759391191709844,1.16440201400928,1.2296209604427064,1.5889090752368764
2015-01-02,0.8102208374973057,1.5679242227979275,1.1472218343290161,1.2371548966973491,1.5753446229536456
2015-01-09,0.8191758274057963,1.5839540155440412,1.1358273274252964,1.2521402055216528,1.3012392502171506
2015-01-16,0.8012658475888151,1.4159650259067358,1.1070928762684362,1.1471398391453007,1.4656454511096229
2015-01-23,0.8012658475888151,1.4639734455958548,1.1530075071055599,1.1471398391453007,1.5479140282594137
2015-01-30,0.7922586039098882,1.471988341968912,1.1530075071055599,1.1921164065394567,1.452076025912198
2015-02-06,0.7922586039098882,1.3599417098445594,1.2275651208326297,1.1622077116545866,1.5204900641174404
2015-02-13,0.7922586039098882,1.3279630829015543,1.1816602466106434,1.1396781461150174,1.5616260103304003
2015-02-20,0.7654981417252888,1.3279630829015543,1.1587163465378956,1.1321442098603742,1.6574839043343919
2015-02-27,0.7564843663250576,1.3999352331606216,1.16440201400928,1.1321442098603742,1.6163363546549792
2015-03-06,0.7475816301870031,1.3519268134715026,1.1587163465378956,1.1771207772545305,1.6163363546549792
2015-03-13,0.7610108491890868,1.3439928756476682,1.1758843304492372,1.1921164065394567,1.6026193996697984
2015-03-20,0.7610108491890868,1.4079501295336787,1.1874459193871871,1.2146253311577802,1.671346731469264
2015-03-27,0.7564843663250576,1.3359779792746111,1.1530075071055599,1.1396781461150174,1.726015634842226
2015-04-03,0.7475816301870031,1.3439928756476682,1.1530075071055599,1.1546737753999434,1.767058753323564
2015-04-10,0.8102208374973057,1.3999352331606216,1.1702547635148939,1.1546737753999434,1.726015634842226
2015-04-17,0.8191235736353601,1.4319138601036268,1.1874459193871871,1.2220870241880635,1.6300417061737071
2015-04-24,0.8053285782402236,1.4959520725388602,1.2104007956519645,1.2220870241880635,1.6163363546549792
2015-05-01,0.8145970907713309,1.3679566062176165,1.1758843304492372,1.2220870241880635,1.4382214869676495
2015-05-08,0.8559820769567403,1.4239799222797926,1.2161767118133706,1.2821108231702596,1.4382214869676495
2015-05-15,0.8789867993912436,1.4079501295336787,1.1816602466106434,1.1771207772545305,1.4246520617702247
2015-05-22,0.8467723499173737,1.3439928756476682,1.1816602466106434,1.1846547135091732,1.4382214869676495
2015-05-29,0.8513510865518389,1.3279630829015543,1.141536166857632,1.0871882833874642,1.3972280976282514
2015-06-05,0.8145970907713309,1.3279630829015543,1.118636171553003,1.0796543471328213,1.4109384220611734
2015-06-12,0.8099138465959934,1.287969559585492,1.1127907395087422,1.0871882833874642,1.3836586724308269
2015-06-19,0.7547338650154474,1.223931347150259,1.1109260064405857,1.0271490037143338,1.3698008182101487
2015-06-26,0.7547338650154474,1.207982512953368,1.159441994788748,1.0421394727689484,1.4656454511096229
2015-07-03,0.7547338650154474,1.1679889896373057,1.1229705478278422,0.9971752899275399,1.452076025912198
2015-07-10,0.7178818934153717,1.1519591968911918,1.068506682976475,1.0271490037143338,1.3698008182101487
2015-07-17,0.7133031567809065,1.1359294041450776,1.104803730441798,1.034688100199288,1.4246520617702247
2015-07-24,0.671918170595497,1.0719721502590673,1.0380575067091973,0.9746457243879709,1.3972280976282514
2015-07-31,0.7363536012645413,1.1119656735751293,1.031944987325547,0.9672758834572304,1.3560904937772267
2015-08-14,0.8329773545222372,1.0479274611398963,1.159441994788748,0.9147777643611789,1.3012392502171506
2015-08-21,0.8145970907713309,1.0079339378238341,1.1472998872501163,0.9296908299611228,1.2465355364448303
2015-08-28,0.7915923683368279,1.0719721502590673,1.153420943672012,0.9597429792486498,1.2329644536093411
2015-09-04,0.7685288604105839,1.0799870466321244,1.1472998872501163,0.9597429792486498,1.1232669394033827
2015-09-11,0.7731663825367899,1.1119656735751293,1.1837823104030518,0.982187917011112,1.164402885616343
2015-09-18,0.7639435920548141,1.1039507772020725,1.159441994788748,0.9971752899275399,1.164402885616343
2015-09-25,0.7408931475711794,1.039993523316062,1.135257785016644,0.9446761387854262,1.0958396599852802
2015-10-02,0.7501485966596777,1.039993523316062,1.0928421202832101,0.9446761387854262,0.9862863602909486
2015-10-09,0.8007498416057584,1.1359294041450776,1.104803730441798,1.019704855467109,1.1505466890337297
2015-10-16,0.8007498416057584,1.1359294041450776,1.104803730441798,1.0047081941361207,1.164402885616343
2015-10-23,0.7961253829221615,1.1279954663212435,1.1169470575573217,0.982187917011112,1.136980579112434
2015-10-30,0.7593126016499129,1.0319786269430051,1.080547565633055,0.9372237341697034,1.1505466890337297
2015-11-06,0.7178818934153717,0.991985103626943,1.050180101017554,0.9221568937064798,1.164402885616343
2015-11-13,0.6948706392595639,0.9359617875647667,0.9894537088247973,0.8697258576044766,1.205396274955741
2015-11-20,0.6902919026250988,0.9600064766839377,0.9894537088247973,0.8771937429111336,1.1916842928847544
2015-11-27,0.6672871801905955,0.8639896373056993,0.9712978676307829,0.8397573040479942,1.205396274955741
2015-12-04,0.6626496580643897,0.8399449481865285,0.9410133342439507,0.8097784300308891,1.205396274955741
2015-12-11,0.6534856530741546,0.8639896373056993,0.9531517830519058,0.8022465578683707,1.136980579112434
2015-12-18,0.6626496580643897,0.8959682642487046,1.044159049900818,0.8547415808262353,1.0409917317013333
2015-12-25,0.7040868980202352,0.9279468911917099,1.0199041046689672,0.8622796452651275,1.05470371377232
2016-01-01,0.6810233900939915,0.8959682642487046,1.0016628930924996,0.8622796452651275,1.0684156958433069
2016-01-08,0.671918170595497,0.8320110103626943,0.9227038263615205,0.7947910571144611,0.9314367743689371
2016-01-15,0.6672871801905955,0.8159812176165803,0.9531517830519058,0.7572803109348376,0.9177264499360152
2016-01-22,0.6028948588821612,0.8159812176165803,0.9166766773603234,0.7572803109348376,0.9314367743689371
2016-01-29,0.6350655458232908,0.8959682642487046,0.9531517830519058,0.7797231846051752,0.9177264499360152
2016-02-05,0.6442765792069184,0.8959682642487046,0.9894537088247973,0.7648121830973559,0.8628768640140037
2016-02-12,0.6074742486887569,0.8959682642487046,0.9652792556678312,0.7797231846051752,0.7807442131855162
2016-02-19,0.6442765792069184,0.9359617875647667,1.0259251557857034,0.7947910571144611,0.8355937991075275
2016-02-26,0.6581231752003605,0.9199319948186528,1.031944987325547,0.7872571208598182,0.8220243739101029
2016-03-04,0.6857131659906335,0.9279468911917099,1.062394163592825,0.8173133983315942,0.9177264499360152
2016-03-11,0.6764969072299623,0.9679404145077719,1.068506682976475,0.8472138368479663,0.9588607385109106
2016-03-18,0.6902919026250988,0.9439766839378237,1.0928421202832101,0.8472138368479663,1.0
2016-03-25,0.6902919026250988,0.9519915803108807,1.080547565633055,0.8097784300308891,0.9725727205818971
2016-04-01,0.6672871801905955,0.9359617875647667,1.104803730441798,0.8472138368479663,0.8628768640140037
2016-04-08,0.6581231752003605,0.9279468911917099,1.0380575067091973,0.832222335747289,0.8493074388165791
2016-04-15,0.7040868980202352,0.9279468911917099,1.0562926204012042,0.8097784300308891,0.9040111525888991
2016-04-22,0.7100568912925622,0.8959682642487046,1.0744460224414345,0.7872571208598182,1.013710324432922
2016-04-29,0.7053213933467886,0.8639896373056993,1.050180101017554,0.7497453426341324,1.0409917317013333
2016-05-06,0.7005858954010149,0.8639896373056993,1.044159049900818,0.7648121830973559,0.9040111525888991
2016-05-13,0.6814936740279166,0.8320110103626943,1.0016628930924996,0.7123140640013045,0.9588607385109106
2016-05-20,0.6957981436848053,0.8159812176165803,0.9773250166319799,0.7123140640013045,0.9452913133134858
2016-05-27,0.7196323947249819,0.8639896373056993,1.0138013419004546,0.7497453426341324,0.8904417273914743
2016-06-03,0.6957981436848053,0.8559747409326424,0.9712978676307829,0.7198480002559474,0.9725727205818971
2016-06-10,0.7100568912925622,0.8079663212435233,0.9652792556678312,0.7123140640013045,0.9040111525888991
2016-06-17,0.7196323947249819,0.8159812176165803,0.9773250166319799,0.7198480002559474,0.9314367743689371
2016-06-24,0.714844643008772,0.8159812176165803,0.9607924322814686,0.7422908739262851,0.8220243739101029
2016-07-01,0.7387246160980804,0.8159812176165803,0.9479380918377986,0.7047790957005993,0.7807442131855162
2016-07-08,0.7244201464411917,0.8239961139896372,0.9028356992108728,0.6897917227841712,0.7533185914054781
2016-07-15,0.7244201464411917,0.8239961139896372,0.8963243781834769,0.7198480002559474,0.8628768640140037
2016-07-22,0.7387246160980804,0.8320110103626943,0.9092714064709531,0.7347579697177044,0.8628768640140037
2016-07-29,0.7720233313084996,0.8079663212435233,0.870596184065862,0.7198480002559474,0.8628768640140037
2016-08-05,0.8006453340648861,0.9359617875647667,0.9544469737114103,0.832222335747289,0.8081681773274896
2016-08-12,0.8292673368212725,0.983970207253886,0.9995408293000909,0.832222335747289,0.8628768640140037
2016-08-19,0.8196983651101575,0.9679404145077719,0.9672269199646567,0.7797231846051752,0.8220243739101029
