,pbv_pko,pbv_peo,pbv_san,pbv_ing,pbv_mbk,wibor_3m,rentownosc_10y,eurpln,wig20,zmiennosc,target_y
2014-12-05,1.3046403887098288,1.2145525319315562,1.6437420847782411,0.868788718404475,1.590650406504065,2.06,2.553157895,4.156,2438.42,0.1060440827818712,0
2014-12-12,1.2671151938853333,1.1858601089089256,1.5342037038264917,0.83748072248216,1.5263414634146342,2.06,2.553157895,4.1809,2360.0,0.1167073987529923,0
2014-12-19,1.2220870241880635,1.1686919114843988,1.5753446229536456,0.797154769061871,1.5504878048780488,2.06,2.553157895,4.2638,2310.88,0.1602270938424131,1
2014-12-26,1.2296209604427064,1.1628469782096893,1.5889090752368764,0.8195558982669838,1.5826016260162603,2.06,2.553157895,4.3726,2323.04,0.1621961415644262,0
2015-01-02,1.2371548966973491,1.1456897423187054,1.5753446229536456,0.8105967535353007,1.5745528455284554,2.06,2.211,4.2991,2309.39,0.1635480486955966,0
2015-01-09,1.2521402055216528,1.134310452553002,1.3012392502171506,0.8195558982669838,1.590650406504065,2.05,2.211,4.2674,2337.21,0.2046278852245837,0
2015-01-16,1.1471398391453007,1.105614375685857,1.4656454511096229,0.8016376088036177,1.4219512195121953,2.03,2.211,4.3021,2252.33,0.2326985170846818,1
2015-01-23,1.1471398391453007,1.151467688443986,1.5479140282594137,0.8016376088036177,1.4701626016260163,2.02,2.211,4.2008,2319.59,0.2199500432494289,0
2015-01-30,1.1921164065394567,1.151467688443986,1.452076025912198,0.7926261860574534,1.4782113821138212,2.0,2.211,4.1834,2341.0,0.2174898376193636,1
2015-02-06,1.1622077116545866,1.2259257319564023,1.5204900641174404,0.7926261860574534,1.3656910569105691,1.97,2.196,4.1566,2354.47,0.1728728765100172,0
2015-02-13,1.1396781461150174,1.1800821627836449,1.5616260103304003,0.7926261860574534,1.3335772357723579,1.94,2.196,4.1843,2346.95,0.1079712149747703,1
2015-02-20,1.1246102736057315,1.1743139602437358,1.6574839043343919,0.756835350393392,1.3416260162601625,1.86,2.196,4.1663,2348.94,0.0734740726723769,1
2015-02-27,1.1321442098603742,1.1628469782096893,1.6163363546549792,0.756835350393392,1.4058536585365855,1.81,2.196,4.1457,2367.1,0.0687193286563849,0
2015-03-06,1.1771207772545305,1.1571689038344661,1.6163363546549792,0.7479284836761899,1.3576422764227642,1.65,2.325454545,4.1279,2345.93,0.0930458430939581,1
2015-03-13,1.1921164065394567,1.1743139602437358,1.6026193996697984,0.7613639333978095,1.3496747967479674,1.65,2.325454545,4.1466,2303.4,0.1051114831408239,1
2015-03-20,1.2146253311577802,1.1858601089089256,1.671346731469264,0.7613639333978095,1.4139024390243904,1.65,2.325454545,4.1333,2407.7,0.1284869385178119,0
2015-03-27,1.1396781461150174,1.151467688443986,1.726015634842226,0.756835350393392,1.3416260162601625,1.65,2.325454545,4.0988,2373.18,0.1322823686765527,1
2015-04-03,1.1546737753999434,1.151467688443986,1.767058753323564,0.7479284836761899,1.3496747967479674,1.65,2.3675,4.0635,2400.65,0.1192419877152506,1
2015-04-10,1.1546737753999434,1.1686919114843988,1.726015634842226,0.8105967535353007,1.4058536585365855,1.65,2.3675,4.0254,2443.62,0.1070433889795814,1
2015-04-17,1.2220870241880635,1.1858601089089256,1.6300417061737071,0.8195036202525028,1.4379674796747968,1.65,2.3675,4.0275,2463.96,0.1302656779461788,1
2015-04-24,1.2220870241880635,1.2030952934828811,1.6163363546549792,0.8102896202002248,1.4782113821138212,1.65,2.3675,4.0377,2519.2,0.1227650870342428,0
2015-05-01,1.2220870241880635,1.1743139602437358,1.4382214869676495,0.8149750372480852,1.373739837398374,1.65,2.82,4.0731,2514.63,0.1288847023449331,1
2015-05-08,1.2821108231702596,1.2145525319315562,1.4382214869676495,0.8563792247170452,1.43,1.66,2.82,4.0458,2546.78,0.1327566792896636,0
2015-05-15,1.1695868409998875,1.1800821627836449,1.4246520617702247,0.8655932247693232,1.3978048780487806,1.67,2.82,4.0402,2514.84,0.123379433683763,0
2015-05-22,1.1846547135091732,1.1800821627836449,1.4382214869676495,0.8471652246647672,1.3496747967479674,1.68,2.82,4.1077,2516.76,0.090585704244452,0
2015-05-29,1.0796543471328213,1.151467688443986,1.3972280976282514,0.8471652246647672,1.3416260162601625,1.68,2.82,4.1106,2437.81,0.1026803396672612,0
2015-06-05,1.072120410878178,1.0999241218289197,1.4109384220611734,0.7919596413728207,1.2853658536585366,1.68,3.19,4.1607,2365.58,0.1059690413698484,0
2015-06-12,1.0871882833874642,1.1113046295427944,1.3836586724308269,0.8102896202002248,1.2934146341463415,1.71,3.19,4.1381,2358.73,0.1248006003734795,0
2015-06-19,1.0271490037143338,1.1094423867886727,1.3698008182101487,0.7550840369082781,1.2291056910569107,1.72,3.19,4.1842,2299.35,0.1368542786401355,1
